figure,title,type,builder,data_source,research_question,protocol
图3-1,总体框架示意图,hand_drawn,thesis/figure_specs/图3-1_总体框架_手绘规格.md,-,双主线诊断闭环的信息流,方法框架
图3-2,相似修正与工况漂移,program,figure_pipeline/fig_preprocessing.py,matlab/outputs/complete_figures/data/a1_similarity_correction.csv,相似修正在哪些通道降低工况漂移以及哪些偏差需由健康基准吸收,训练数据审查
图3-3,健康基准拟合与残差质量,program,figure_pipeline/fig_preprocessing.py,matlab/outputs/complete_figures/data/a2_baseline_fit.csv,健康基准能否稳定还原健康气路响应,训练数据审查
图3-4,影响矩阵故障指纹,program,figure_pipeline/fig_identifiability.py,reference/fixed_results/influence_matrix/H_9cols.csv,九个健康参数在十三维残差空间形成何种故障指纹,跨机估计前端
图3-5,病态性与子空间可辨识性,program,figure_pipeline/fig_identifiability.py,reference/fixed_results/influence_matrix/H_9cols.csv,反问题病态程度以及部件族混叠的几何边界,跨机估计前端
图3-6,代表发动机连续退化轨迹,program,figure_pipeline/fig_continuous.py,matlab/outputs/stage_bc/figure_data/fig3_2_ds03_unit13_trajectory.csv,约束反演能否恢复活动部件趋势并抑制未退化部件虚警,跨发动机泛化
图3-7,多发动机多部件估计误差,program,figure_pipeline/fig_continuous.py,matlab/outputs/complete_figures/data/b4_multiunit_component_error.csv,连续估计精度是否在多台发动机和多部件上成立,跨发动机泛化
图3-8,正则化参数敏感性,program,figure_pipeline/fig_continuous.py,matlab/outputs/complete_figures/data/b3_lambda_trajectory.csv,欠收缩与过收缩如何改变退化轨迹,标定机队选参
图3-9,约束反演的独立价值,program,figure_pipeline/fig_continuous.py,matlab/outputs/t5_robustness_ablation/ablation_unit_metrics.csv+thesis/tables/表8_外推技能与虚警.csv,硬约束相对无约束和数据驱动方法的误差与虚警收益,跨发动机泛化
图3-10,DTAE双任务架构,hand_drawn,thesis/figure_specs/图3-10_DTAE架构_手绘规格.md,-,重构任务与分类任务如何共享潜特征,方法框架
图3-11,DTAE故障检测,program,figure_pipeline/fig_dtae.py,improve/figdata/detection_confusion.csv+improve/figdata/detection_summary.csv,故障是否被稳定检出以及健康循环虚警水平,分布内在线诊断
图3-12,四部件主诊断混淆矩阵,program,figure_pipeline/fig_dtae.py,improve/figdata/confusion_part.csv,四个维修检查单元的召回及并发共现结构,分布内在线诊断
图3-13,四部件逐类性能,program,figure_pipeline/fig_dtae.py,improve/dtae_metrics_part.csv,四部件精确率召回率F1是否均达到论文主指标要求,分布内在线诊断5seed聚合
图3-14,DTAE潜空间tSNE,program,figure_pipeline/fig_dtae.py,improve/figdata/latent_tsne.csv,潜特征是否形成可解释的类别聚集,分布内在线诊断
图3-15,代表发动机诊断时间线,program,figure_pipeline/fig_dtae.py,improve/figdata/timeline.csv,连续程度检测与部件隔离如何沿飞行循环闭环联动,分布内在线诊断
图3-16,五部件族细分混淆矩阵,program,figure_pipeline/fig_dtae.py,improve/figdata/confusion_family.csv,涡轮内部细分与并发退化的共现边界,分布内深度分析
图3-17,涡轮内部细分边界,program,figure_pipeline/fig_dtae.py,improve/dtae_metrics_family.csv+improve/figdata/confusion_family.csv,HPT与LPT细分的性能与相互混叠程度,分布内深度分析
图3-18,四部件诊断粒度收益,program,figure_pipeline/fig_dtae.py,improve/dtae_metrics_part.csv+improve/dtae_metrics_family.csv,诊断粒度与物理可辨识性匹配后带来多少性能收益,分布内在线诊断
图3-19,物理约束管线鲁棒性,program,figure_pipeline/fig_validation.py,matlab/outputs/t5_robustness_ablation/robustness_summary.csv,连续估计及统一决策层对噪声偏置和缺失通道的稳定性,锁定补充验证
